chemical_formula,Tc,composition,elements,stoichiometry,Category,num_elements
Na2Cs0.75C60,7.0,Na2 Cs0.75 C60,"[Element Na, Element Cs, Element C]","{'Na': 2.0, 'Cs': 0.75, 'C': 60.0}",Other,3
K2.75Ba0.25C60,15.0,K2.75 Ba0.25 C60,"[Element K, Element Ba, Element C]","{'K': 2.75, 'Ba': 0.25, 'C': 60.0}",Other,3
Mg0.97Na0.03B2,38.0,Mg0.97 Na0.03 B2,"[Element Mg, Element Na, Element B]","{'Mg': 0.97, 'Na': 0.03, 'B': 2.0}",Other,3
Mg0.93Na0.07B2,38.0,Mg0.93 Na0.07 B2,"[Element Mg, Element Na, Element B]","{'Mg': 0.93, 'Na': 0.07, 'B': 2.0}",Other,3
Mg0.85Na0.15B2,38.0,Mg0.85 Na0.15 B2,"[Element Mg, Element Na, Element B]","{'Mg': 0.85, 'Na': 0.15, 'B': 2.0}",Other,3
Mg0.8Na0.2B2,38.0,Mg0.8 Na0.2 B2,"[Element Mg, Element Na, Element B]","{'Mg': 0.8, 'Na': 0.2, 'B': 2.0}",Other,3
Mg0.93Li0.07B2,37.8,Mg0.93 Li0.07 B2,"[Element Mg, Element Li, Element B]","{'Mg': 0.93, 'Li': 0.07, 'B': 2.0}",Other,3
Mg0.85Li0.15B2,37.5,Mg0.85 Li0.15 B2,"[Element Mg, Element Li, Element B]","{'Mg': 0.85, 'Li': 0.15, 'B': 2.0}",Other,3
Mg0.8Li0.2B2,34.0,Mg0.8 Li0.2 B2,"[Element Mg, Element Li, Element B]","{'Mg': 0.8, 'Li': 0.2, 'B': 2.0}",Other,3
Mg0.75Li0.25B2,33.7,Mg0.75 Li0.25 B2,"[Element Mg, Element Li, Element B]","{'Mg': 0.75, 'Li': 0.25, 'B': 2.0}",Other,3
Sc1Ni2B2C1,16.0,Sc1 Ni2 B2 C1,"[Element Sc, Element Ni, Element B, Element C]","{'Sc': 1.0, 'Ni': 2.0, 'B': 2.0, 'C': 1.0}",Other,4
Na3.5N0.5C60,14.7,Na3.5 N0.5 C60,"[Element Na, Element N, Element C]","{'Na': 3.5, 'N': 0.5, 'C': 60.0}",Other,3
Cs1.2Tl2.4C60,29.5,Cs1.2 Tl2.4 C60,"[Element Cs, Element Tl, Element C]","{'Cs': 1.2, 'Tl': 2.4, 'C': 60.0}",Other,3
Cs3Hg3.3C60,29.0,Cs3 Hg3.3 C60,"[Element Cs, Element Hg, Element C]","{'Cs': 3.0, 'Hg': 3.3, 'C': 60.0}",Other,3
Ba4Na2Ge25,0.84,Ba4 Na2 Ge25,"[Element Ba, Element Na, Element Ge]","{'Ba': 4.0, 'Na': 2.0, 'Ge': 25.0}",Other,3
Mg0.99Ti0.01B2,38.6,Mg0.99 Ti0.01 B2,"[Element Mg, Element Ti, Element B]","{'Mg': 0.99, 'Ti': 0.01, 'B': 2.0}",Other,3
Mg0.95Ti0.05B2,38.5,Mg0.95 Ti0.05 B2,"[Element Mg, Element Ti, Element B]","{'Mg': 0.95, 'Ti': 0.05, 'B': 2.0}",Other,3
Mg0.9Ti0.1B2,38.3,Mg0.9 Ti0.1 B2,"[Element Mg, Element Ti, Element B]","{'Mg': 0.9, 'Ti': 0.1, 'B': 2.0}",Other,3
Mg0.8Ti0.2B2,37.8,Mg0.8 Ti0.2 B2,"[Element Mg, Element Ti, Element B]","{'Mg': 0.8, 'Ti': 0.2, 'B': 2.0}",Other,3
Mg0.6Ti0.4B2,37.5,Mg0.6 Ti0.4 B2,"[Element Mg, Element Ti, Element B]","{'Mg': 0.6, 'Ti': 0.4, 'B': 2.0}",Other,3
Mg0.4Ti0.6B2,37.6,Mg0.4 Ti0.6 B2,"[Element Mg, Element Ti, Element B]","{'Mg': 0.4, 'Ti': 0.6, 'B': 2.0}",Other,3
H1Br3C61,115.0,H1 Br3 C61,"[Element H, Element Br, Element C]","{'H': 1.0, 'Br': 3.0, 'C': 61.0}",Hydrides,3
H1Cl3C61,80.0,H1 Cl3 C61,"[Element H, Element Cl, Element C]","{'H': 1.0, 'Cl': 3.0, 'C': 61.0}",Hydrides,3
La1Os4As12,3.2,La1 Os4 As12,"[Element La, Element Os, Element As]","{'La': 1.0, 'Os': 4.0, 'As': 12.0}",Other,3
Mo8P5,5.8,Mo8 P5,"[Element Mo, Element P]","{'Mo': 8.0, 'P': 5.0}",Other,2
Ti1Rh1Si1,5.1,Ti1 Rh1 Si1,"[Element Ti, Element Rh, Element Si]","{'Ti': 1.0, 'Rh': 1.0, 'Si': 1.0}",Other,3
Hf1Rh1Si1,2.3,Hf1 Rh1 Si1,"[Element Hf, Element Rh, Element Si]","{'Hf': 1.0, 'Rh': 1.0, 'Si': 1.0}",Other,3
Hf1Ru4P2,9.5,Hf1 Ru4 P2,"[Element Hf, Element Ru, Element P]","{'Hf': 1.0, 'Ru': 4.0, 'P': 2.0}",Other,3
Mo1Ni1P1,15.5,Mo1 Ni1 P1,"[Element Mo, Element Ni, Element P]","{'Mo': 1.0, 'Ni': 1.0, 'P': 1.0}",Other,3
Mo1Ru1P1,15.5,Mo1 Ru1 P1,"[Element Mo, Element Ru, Element P]","{'Mo': 1.0, 'Ru': 1.0, 'P': 1.0}",Other,3
Ce1Rh0.5Co0.5In5,1.4,Ce1 Rh0.5 Co0.5 In5,"[Element Ce, Element Rh, Element Co, Element In]","{'Ce': 1.0, 'Rh': 0.5, 'Co': 0.5, 'In': 5.0}",Other,4
Ce1Rh0.3Co0.7In5,1.42,Ce1 Rh0.3 Co0.7 In5,"[Element Ce, Element Rh, Element Co, Element In]","{'Ce': 1.0, 'Rh': 0.3, 'Co': 0.7, 'In': 5.0}",Other,4
Ce1Rh0.2Co0.8In5,1.57,Ce1 Rh0.2 Co0.8 In5,"[Element Ce, Element Rh, Element Co, Element In]","{'Ce': 1.0, 'Rh': 0.2, 'Co': 0.8, 'In': 5.0}",Other,4
Ce1Co1.95,0.87,Ce1 Co1.95,"[Element Ce, Element Co]","{'Ce': 1.0, 'Co': 1.95}",Other,2
Ce1Co1.85,0.86,Ce1 Co1.85,"[Element Ce, Element Co]","{'Ce': 1.0, 'Co': 1.85}",Other,2
Mg1Co1Ni2.97Co0.03,6.7,Mg1 Co1.03 Ni2.97,"[Element Mg, Element Co, Element Ni]","{'Mg': 1.0, 'Co': 1.03, 'Ni': 2.97}",Other,3
Mg1Co1Ni2.94Co0.06,6.0,Mg1 Co1.06 Ni2.94,"[Element Mg, Element Co, Element Ni]","{'Mg': 1.0, 'Co': 1.06, 'Ni': 2.94}",Other,3
Mg1Co1Ni2.91Co0.09,6.0,Mg1 Co1.09 Ni2.91,"[Element Mg, Element Co, Element Ni]","{'Mg': 1.0, 'Co': 1.09, 'Ni': 2.91}",Other,3
In1V6S8,3.9,In1 V6 S8,"[Element In, Element V, Element S]","{'In': 1.0, 'V': 6.0, 'S': 8.0}",Other,3
Tl1V6S8,4.1,Tl1 V6 S8,"[Element Tl, Element V, Element S]","{'Tl': 1.0, 'V': 6.0, 'S': 8.0}",Other,3
K1V6S8,0.71,K1 V6 S8,"[Element K, Element V, Element S]","{'K': 1.0, 'V': 6.0, 'S': 8.0}",Other,3
Rb1V6S8,0.65,Rb1 V6 S8,"[Element Rb, Element V, Element S]","{'Rb': 1.0, 'V': 6.0, 'S': 8.0}",Other,3
Cs1V6S8,0.32,Cs1 V6 S8,"[Element Cs, Element V, Element S]","{'Cs': 1.0, 'V': 6.0, 'S': 8.0}",Other,3
S8V6,0.76,S8 V6,"[Element S, Element V]","{'S': 8.0, 'V': 6.0}",Other,2
Tl0.61V6S8,3.5,Tl0.61 V6 S8,"[Element Tl, Element V, Element S]","{'Tl': 0.61, 'V': 6.0, 'S': 8.0}",Other,3
Tl0.26V6S8,0.74,Tl0.26 V6 S8,"[Element Tl, Element V, Element S]","{'Tl': 0.26, 'V': 6.0, 'S': 8.0}",Other,3
In0.63V6S8,0.95,In0.63 V6 S8,"[Element In, Element V, Element S]","{'In': 0.63, 'V': 6.0, 'S': 8.0}",Other,3
Mg1C0.978Ni3,7.3,Mg1 C0.978 Ni3,"[Element Mg, Element C, Element Ni]","{'Mg': 1.0, 'C': 0.978, 'Ni': 3.0}",Other,3
Mg1C0.965Ni3,6.3,Mg1 C0.965 Ni3,"[Element Mg, Element C, Element Ni]","{'Mg': 1.0, 'C': 0.965, 'Ni': 3.0}",Other,3
Mg1C0.906Ni3,3.38,Mg1 C0.906 Ni3,"[Element Mg, Element C, Element Ni]","{'Mg': 1.0, 'C': 0.906, 'Ni': 3.0}",Other,3
In0.71V6S8,5.4,In0.71 V6 S8,"[Element In, Element V, Element S]","{'In': 0.71, 'V': 6.0, 'S': 8.0}",Other,3
Ba1Nb2Se5,2.5,Ba1 Nb2 Se5,"[Element Ba, Element Nb, Element Se]","{'Ba': 1.0, 'Nb': 2.0, 'Se': 5.0}",Other,3
Ag1Sn1Se2,4.71,Ag1 Sn1 Se2,"[Element Ag, Element Sn, Element Se]","{'Ag': 1.0, 'Sn': 1.0, 'Se': 2.0}",Other,3
Ag0.95Sn1.05Se2,5.28,Ag0.95 Sn1.05 Se2,"[Element Ag, Element Sn, Element Se]","{'Ag': 0.95, 'Sn': 1.05, 'Se': 2.0}",Other,3
Ag0.92Sn1.08Se2,5.57,Ag0.92 Sn1.08 Se2,"[Element Ag, Element Sn, Element Se]","{'Ag': 0.92, 'Sn': 1.08, 'Se': 2.0}",Other,3
Ag0.85Sn1.15Se2,6.23,Ag0.85 Sn1.15 Se2,"[Element Ag, Element Sn, Element Se]","{'Ag': 0.85, 'Sn': 1.15, 'Se': 2.0}",Other,3
Ag0.81Sn1.19Se2,6.47,Ag0.81 Sn1.19 Se2,"[Element Ag, Element Sn, Element Se]","{'Ag': 0.81, 'Sn': 1.19, 'Se': 2.0}",Other,3
Ag1Sn1Se1.8S0.2,5.79,Ag1 Sn1 Se1.8 S0.2,"[Element Ag, Element Sn, Element Se, Element S]","{'Ag': 1.0, 'Sn': 1.0, 'Se': 1.8, 'S': 0.2}",Other,4
Ag0.9Sn1.1Se1.8S0.2,6.79,Ag0.9 Sn1.1 Se1.8 S0.2,"[Element Ag, Element Sn, Element Se, Element S]","{'Ag': 0.9, 'Sn': 1.1, 'Se': 1.8, 'S': 0.2}",Other,4
C0.9S0.1,35.0,C0.9 S0.1,"[Element C, Element S]","{'C': 0.9, 'S': 0.1}",Other,2
Mg0.91Al0.09B2,34.7,Mg0.91 Al0.09 B2,"[Element Mg, Element Al, Element B]","{'Mg': 0.91, 'Al': 0.09, 'B': 2.0}",Other,3
Mg0.81Al0.19B2,30.8,Mg0.81 Al0.19 B2,"[Element Mg, Element Al, Element B]","{'Mg': 0.81, 'Al': 0.19, 'B': 2.0}",Other,3
Mg0.71Al0.29B2,24.0,Mg0.71 Al0.29 B2,"[Element Mg, Element Al, Element B]","{'Mg': 0.71, 'Al': 0.29, 'B': 2.0}",Other,3
Mg0.5Al0.5B2,12.9,Mg0.5 Al0.5 B2,"[Element Mg, Element Al, Element B]","{'Mg': 0.5, 'Al': 0.5, 'B': 2.0}",Other,3
Mg0.4Al0.6B2,12.0,Mg0.4 Al0.6 B2,"[Element Mg, Element Al, Element B]","{'Mg': 0.4, 'Al': 0.6, 'B': 2.0}",Other,3
Mg0.31Al0.69B2,11.1,Mg0.31 Al0.69 B2,"[Element Mg, Element Al, Element B]","{'Mg': 0.31, 'Al': 0.69, 'B': 2.0}",Other,3
Mg0.23Al0.77B2,5.1,Mg0.23 Al0.77 B2,"[Element Mg, Element Al, Element B]","{'Mg': 0.23, 'Al': 0.77, 'B': 2.0}",Other,3
La1Pt2.1B2.4C1.2,10.5,La1 Pt2.1 B2.4 C1.2,"[Element La, Element Pt, Element B, Element C]","{'La': 1.0, 'Pt': 2.1, 'B': 2.4, 'C': 1.2}",Other,4
Pr1Pt2.1B2.4C1.2,6.0,Pr1 Pt2.1 B2.4 C1.2,"[Element Pr, Element Pt, Element B, Element C]","{'Pr': 1.0, 'Pt': 2.1, 'B': 2.4, 'C': 1.2}",Other,4
La0.9Pr0.1Pt2.1B2.4C1.2,9.0,La0.9 Pr0.1 Pt2.1 B2.4 C1.2,"[Element La, Element Pr, Element Pt, Element B, Element C]","{'La': 0.9, 'Pr': 0.1, 'Pt': 2.1, 'B': 2.4, 'C': 1.2}",Other,5
Ba8Ga16Ge30,7.5,Ba8 Ga16 Ge30,"[Element Ba, Element Ga, Element Ge]","{'Ba': 8.0, 'Ga': 16.0, 'Ge': 30.0}",Other,3
Ba2Sn3Sb6,3.9,Ba2 Sn3 Sb6,"[Element Ba, Element Sn, Element Sb]","{'Ba': 2.0, 'Sn': 3.0, 'Sb': 6.0}",Other,3
Sr1Sn3Sb4,3.9,Sr1 Sn3 Sb4,"[Element Sr, Element Sn, Element Sb]","{'Sr': 1.0, 'Sn': 3.0, 'Sb': 4.0}",Other,3
Li1Hf1N1Cl1,25.3,Li1 Hf1 N1 Cl1,"[Element Li, Element Hf, Element N, Element Cl]","{'Li': 1.0, 'Hf': 1.0, 'N': 1.0, 'Cl': 1.0}",Other,4
Li1Hf1N1Cl0.75Br0.25,23.6,Li1 Hf1 N1 Cl0.75 Br0.25,"[Element Li, Element Hf, Element N, Element Cl, Element Br]","{'Li': 1.0, 'Hf': 1.0, 'N': 1.0, 'Cl': 0.75, 'Br': 0.25}",Other,5
Li1Hf1N1Cl0.525Br0.475,22.7,Li1 Hf1 N1 Cl0.525 Br0.475,"[Element Li, Element Hf, Element N, Element Cl, Element Br]","{'Li': 1.0, 'Hf': 1.0, 'N': 1.0, 'Cl': 0.525, 'Br': 0.475}",Other,5
Li1Hf1N1Br1,24.1,Li1 Hf1 N1 Br1,"[Element Li, Element Hf, Element N, Element Br]","{'Li': 1.0, 'Hf': 1.0, 'N': 1.0, 'Br': 1.0}",Other,4
Li1Hf1N1I1,22.2,Li1 Hf1 N1 I1,"[Element Li, Element Hf, Element N, Element I]","{'Li': 1.0, 'Hf': 1.0, 'N': 1.0, 'I': 1.0}",Other,4
Na0.28Hf1N1Cl1,23.0,Na0.28 Hf1 N1 Cl1,"[Element Na, Element Hf, Element N, Element Cl]","{'Na': 0.28, 'Hf': 1.0, 'N': 1.0, 'Cl': 1.0}",Other,4
Mg0.99Co0.01B2,35.5,Mg0.99 Co0.01 B2,"[Element Mg, Element Co, Element B]","{'Mg': 0.99, 'Co': 0.01, 'B': 2.0}",Other,3
Mg0.9Co0.1B2,34.5,Mg0.9 Co0.1 B2,"[Element Mg, Element Co, Element B]","{'Mg': 0.9, 'Co': 0.1, 'B': 2.0}",Other,3
Mg0.75Co0.25B2,34.0,Mg0.75 Co0.25 B2,"[Element Mg, Element Co, Element B]","{'Mg': 0.75, 'Co': 0.25, 'B': 2.0}",Other,3
Mg0.5Co0.5B2,31.5,Mg0.5 Co0.5 B2,"[Element Mg, Element Co, Element B]","{'Mg': 0.5, 'Co': 0.5, 'B': 2.0}",Other,3
Mg0.99Sn0.01B2,33.5,Mg0.99 Sn0.01 B2,"[Element Mg, Element Sn, Element B]","{'Mg': 0.99, 'Sn': 0.01, 'B': 2.0}",Other,3
Mg0.9Fe0.1B2,34.0,Mg0.9 Fe0.1 B2,"[Element Mg, Element Fe, Element B]","{'Mg': 0.9, 'Fe': 0.1, 'B': 2.0}",Fe-based,3
Mg0.75Fe0.25B2,32.0,Mg0.75 Fe0.25 B2,"[Element Mg, Element Fe, Element B]","{'Mg': 0.75, 'Fe': 0.25, 'B': 2.0}",Fe-based,3
Rb0.23W1O3,2.6,Rb0.23 W1 O3,"[Element Rb, Element W, Element O]","{'Rb': 0.23, 'W': 1.0, 'O': 3.0}",Other,3
Rb0.2W1O3,4.16,Rb0.2 W1 O3,"[Element Rb, Element W, Element O]","{'Rb': 0.2, 'W': 1.0, 'O': 3.0}",Other,3
Mg1Co1Ni3,7.63,Mg1 Co1 Ni3,"[Element Mg, Element Co, Element Ni]","{'Mg': 1.0, 'Co': 1.0, 'Ni': 3.0}",Other,3
Cs0.005W1O3,5.9,Cs0.005 W1 O3,"[Element Cs, Element W, Element O]","{'Cs': 0.005, 'W': 1.0, 'O': 3.0}",Other,3
Nb2S1C0.9,5.0,Nb2 S1 C0.9,"[Element Nb, Element S, Element C]","{'Nb': 2.0, 'S': 1.0, 'C': 0.9}",Other,3
Nb2S1C0.85,4.68,Nb2 S1 C0.85,"[Element Nb, Element S, Element C]","{'Nb': 2.0, 'S': 1.0, 'C': 0.85}",Other,3
Nb2S1C0.82,4.43,Nb2 S1 C0.82,"[Element Nb, Element S, Element C]","{'Nb': 2.0, 'S': 1.0, 'C': 0.82}",Other,3
Cu0.67Nb2S2C1,4.85,Cu0.67 Nb2 S2 C1,"[Element Cu, Element Nb, Element S, Element C]","{'Cu': 0.67, 'Nb': 2.0, 'S': 2.0, 'C': 1.0}",Other,4
Nb2S2C1,7.6,Nb2 S2 C1,"[Element Nb, Element S, Element C]","{'Nb': 2.0, 'S': 2.0, 'C': 1.0}",Other,3
Mg1B1.8Be0.2,36.0,Mg1 B1.8 Be0.2,"[Element Mg, Element B, Element Be]","{'Mg': 1.0, 'B': 1.8, 'Be': 0.2}",Other,3
Mg1B1.7Be0.3,32.9,Mg1 B1.7 Be0.3,"[Element Mg, Element B, Element Be]","{'Mg': 1.0, 'B': 1.7, 'Be': 0.3}",Other,3
Mg1B1.6Be0.4,20.9,Mg1 B1.6 Be0.4,"[Element Mg, Element B, Element Be]","{'Mg': 1.0, 'B': 1.6, 'Be': 0.4}",Other,3
Mg1B1.4Be0.6,8.3,Mg1 B1.4 Be0.6,"[Element Mg, Element B, Element Be]","{'Mg': 1.0, 'B': 1.4, 'Be': 0.6}",Other,3
La13Ga8Sb21,2.4,La13 Ga8 Sb21,"[Element La, Element Ga, Element Sb]","{'La': 13.0, 'Ga': 8.0, 'Sb': 21.0}",Other,3
P4W14O50,0.39,P4 W14 O50,"[Element P, Element W, Element O]","{'P': 4.0, 'W': 14.0, 'O': 50.0}",Other,3
Pb1Mo6Se7.55,5.0,Pb1 Mo6 Se7.55,"[Element Pb, Element Mo, Element Se]","{'Pb': 1.0, 'Mo': 6.0, 'Se': 7.55}",Other,3
K2.9Ba4.9Si46,3.2,K2.9 Ba4.9 Si46,"[Element K, Element Ba, Element Si]","{'K': 2.9, 'Ba': 4.9, 'Si': 46.0}",Other,3
Ba1Sn3,4.3,Ba1 Sn3,"[Element Ba, Element Sn]","{'Ba': 1.0, 'Sn': 3.0}",Other,2
Eu1.2Mo6S8,9.8,Eu1.2 Mo6 S8,"[Element Eu, Element Mo, Element S]","{'Eu': 1.2, 'Mo': 6.0, 'S': 8.0}",Other,3
Tl2Mo6Se6,6.5,Tl2 Mo6 Se6,"[Element Tl, Element Mo, Element Se]","{'Tl': 2.0, 'Mo': 6.0, 'Se': 6.0}",Other,3
Tm5Ir4Si10,1.9,Tm5 Ir4 Si10,"[Element Tm, Element Ir, Element Si]","{'Tm': 5.0, 'Ir': 4.0, 'Si': 10.0}",Other,3
Lu5Rh4Si10,3.3,Lu5 Rh4 Si10,"[Element Lu, Element Rh, Element Si]","{'Lu': 5.0, 'Rh': 4.0, 'Si': 10.0}",Other,3
Lu5Ir4Si9C1,3.74,Lu5 Ir4 Si9 C1,"[Element Lu, Element Ir, Element Si, Element C]","{'Lu': 5.0, 'Ir': 4.0, 'Si': 9.0, 'C': 1.0}",Other,4
Lu4.75Sc0.25Ir4Si10,6.06,Lu4.75 Sc0.25 Ir4 Si10,"[Element Lu, Element Sc, Element Ir, Element Si]","{'Lu': 4.75, 'Sc': 0.25, 'Ir': 4.0, 'Si': 10.0}",Other,4
Lu4.5Sc0.5Ir4Si10,6.09,Lu4.5 Sc0.5 Ir4 Si10,"[Element Lu, Element Sc, Element Ir, Element Si]","{'Lu': 4.5, 'Sc': 0.5, 'Ir': 4.0, 'Si': 10.0}",Other,4
Lu4Sc1Ir4Si10,6.54,Lu4 Sc1 Ir4 Si10,"[Element Lu, Element Sc, Element Ir, Element Si]","{'Lu': 4.0, 'Sc': 1.0, 'Ir': 4.0, 'Si': 10.0}",Other,4
Lu3.5Sc1.5Ir4Si10,7.64,Lu3.5 Sc1.5 Ir4 Si10,"[Element Lu, Element Sc, Element Ir, Element Si]","{'Lu': 3.5, 'Sc': 1.5, 'Ir': 4.0, 'Si': 10.0}",Other,4
Lu2.5Sc2.5Ir4Si10,7.9,Lu2.5 Sc2.5 Ir4 Si10,"[Element Lu, Element Sc, Element Ir, Element Si]","{'Lu': 2.5, 'Sc': 2.5, 'Ir': 4.0, 'Si': 10.0}",Other,4
Lu1Sc4Ir4Si10,7.68,Lu1 Sc4 Ir4 Si10,"[Element Lu, Element Sc, Element Ir, Element Si]","{'Lu': 1.0, 'Sc': 4.0, 'Ir': 4.0, 'Si': 10.0}",Other,4
Lu0.25Sc4.75Ir4Si10,7.95,Lu0.25 Sc4.75 Ir4 Si10,"[Element Lu, Element Sc, Element Ir, Element Si]","{'Lu': 0.25, 'Sc': 4.75, 'Ir': 4.0, 'Si': 10.0}",Other,4
Lu4.5Th0.5Ir4Si10,4.88,Lu4.5 Th0.5 Ir4 Si10,"[Element Lu, Element Th, Element Ir, Element Si]","{'Lu': 4.5, 'Th': 0.5, 'Ir': 4.0, 'Si': 10.0}",Other,4
Lu4.5Tm0.5Ir4Si10,2.84,Lu4.5 Tm0.5 Ir4 Si10,"[Element Lu, Element Tm, Element Ir, Element Si]","{'Lu': 4.5, 'Tm': 0.5, 'Ir': 4.0, 'Si': 10.0}",Other,4
Sm1Rh4B4,2.7,Sm1 Rh4 B4,"[Element Sm, Element Rh, Element B]","{'Sm': 1.0, 'Rh': 4.0, 'B': 4.0}",Other,3
Er1Rh4B4,8.7,Er1 Rh4 B4,"[Element Er, Element Rh, Element B]","{'Er': 1.0, 'Rh': 4.0, 'B': 4.0}",Other,3
Tm1Rh4B4,9.8,Tm1 Rh4 B4,"[Element Tm, Element Rh, Element B]","{'Tm': 1.0, 'Rh': 4.0, 'B': 4.0}",Other,3
Lu1Rh4B4,11.7,Lu1 Rh4 B4,"[Element Lu, Element Rh, Element B]","{'Lu': 1.0, 'Rh': 4.0, 'B': 4.0}",Other,3
Th1Rh4B4,4.3,Th1 Rh4 B4,"[Element Th, Element Rh, Element B]","{'Th': 1.0, 'Rh': 4.0, 'B': 4.0}",Other,3
Ho1Ir4B4,2.0,Ho1 Ir4 B4,"[Element Ho, Element Ir, Element B]","{'Ho': 1.0, 'Ir': 4.0, 'B': 4.0}",Other,3
Er1Ir4B4,2.1,Er1 Ir4 B4,"[Element Er, Element Ir, Element B]","{'Er': 1.0, 'Ir': 4.0, 'B': 4.0}",Other,3
Tm1Ir4B4,1.6,Tm1 Ir4 B4,"[Element Tm, Element Ir, Element B]","{'Tm': 1.0, 'Ir': 4.0, 'B': 4.0}",Other,3
Sc1Ru4B4,7.2,Sc1 Ru4 B4,"[Element Sc, Element Ru, Element B]","{'Sc': 1.0, 'Ru': 4.0, 'B': 4.0}",Other,3
Lu1Ru4B4,2.0,Lu1 Ru4 B4,"[Element Lu, Element Ru, Element B]","{'Lu': 1.0, 'Ru': 4.0, 'B': 4.0}",Other,3
Pr1Th3.4Ru0.6B4,2.3,Pr1 Th3.4 Ru0.6 B4,"[Element Pr, Element Th, Element Ru, Element B]","{'Pr': 1.0, 'Th': 3.4, 'Ru': 0.6, 'B': 4.0}",Other,4
Eu1Th3.4Ru0.6B4,1.5,Eu1 Th3.4 Ru0.6 B4,"[Element Eu, Element Th, Element Ru, Element B]","{'Eu': 1.0, 'Th': 3.4, 'Ru': 0.6, 'B': 4.0}",Other,4
Ho1Th3.4Ru0.6B4,6.3,Ho1 Th3.4 Ru0.6 B4,"[Element Ho, Element Th, Element Ru, Element B]","{'Ho': 1.0, 'Th': 3.4, 'Ru': 0.6, 'B': 4.0}",Other,4
Er1Th3.4Ru0.6B4,7.9,Er1 Th3.4 Ru0.6 B4,"[Element Er, Element Th, Element Ru, Element B]","{'Er': 1.0, 'Th': 3.4, 'Ru': 0.6, 'B': 4.0}",Other,4
Tm1Th3.4Ru0.6B4,8.3,Tm1 Th3.4 Ru0.6 B4,"[Element Tm, Element Th, Element Ru, Element B]","{'Tm': 1.0, 'Th': 3.4, 'Ru': 0.6, 'B': 4.0}",Other,4
Lu1Th3.4Ru0.6B4,9.0,Lu1 Th3.4 Ru0.6 B4,"[Element Lu, Element Th, Element Ru, Element B]","{'Lu': 1.0, 'Th': 3.4, 'Ru': 0.6, 'B': 4.0}",Other,4
Ho1Rh4B4,1.4,Ho1 Rh4 B4,"[Element Ho, Element Rh, Element B]","{'Ho': 1.0, 'Rh': 4.0, 'B': 4.0}",Other,3
Lu1Ru1B2,9.99,Lu1 Ru1 B2,"[Element Lu, Element Ru, Element B]","{'Lu': 1.0, 'Ru': 1.0, 'B': 2.0}",Other,3
Sc1Os1B2,1.34,Sc1 Os1 B2,"[Element Sc, Element Os, Element B]","{'Sc': 1.0, 'Os': 1.0, 'B': 2.0}",Other,3
Lu1Os1B2,2.66,Lu1 Os1 B2,"[Element Lu, Element Os, Element B]","{'Lu': 1.0, 'Os': 1.0, 'B': 2.0}",Other,3
Th1Ru3B2,1.79,Th1 Ru3 B2,"[Element Th, Element Ru, Element B]","{'Th': 1.0, 'Ru': 3.0, 'B': 2.0}",Other,3
Lu1Os3B2,4.62,Lu1 Os3 B2,"[Element Lu, Element Os, Element B]","{'Lu': 1.0, 'Os': 3.0, 'B': 2.0}",Other,3
Lu0.5Th0.5Os3B2,4.14,Lu0.5 Th0.5 Os3 B2,"[Element Lu, Element Th, Element Os, Element B]","{'Lu': 0.5, 'Th': 0.5, 'Os': 3.0, 'B': 2.0}",Other,4
La1Rh3B2,2.82,La1 Rh3 B2,"[Element La, Element Rh, Element B]","{'La': 1.0, 'Rh': 3.0, 'B': 2.0}",Other,3
La1Ir3B2,1.65,La1 Ir3 B2,"[Element La, Element Ir, Element B]","{'La': 1.0, 'Ir': 3.0, 'B': 2.0}",Other,3
Th1Ir3B2,2.09,Th1 Ir3 B2,"[Element Th, Element Ir, Element B]","{'Th': 1.0, 'Ir': 3.0, 'B': 2.0}",Other,3
Ti1Ru1P1,1.33,Ti1 Ru1 P1,"[Element Ti, Element Ru, Element P]","{'Ti': 1.0, 'Ru': 1.0, 'P': 1.0}",Other,3
Hf1Ru1P1,12.7,Hf1 Ru1 P1,"[Element Hf, Element Ru, Element P]","{'Hf': 1.0, 'Ru': 1.0, 'P': 1.0}",Other,3
Hf1Os1P1,6.1,Hf1 Os1 P1,"[Element Hf, Element Os, Element P]","{'Hf': 1.0, 'Os': 1.0, 'P': 1.0}",Other,3
La1Ru3Si2,7.6,La1 Ru3 Si2,"[Element La, Element Ru, Element Si]","{'La': 1.0, 'Ru': 3.0, 'Si': 2.0}",Other,3
Th1Ru3Si2,3.98,Th1 Ru3 Si2,"[Element Th, Element Ru, Element Si]","{'Th': 1.0, 'Ru': 3.0, 'Si': 2.0}",Other,3
Ba0.67Pt3B2,5.6,Ba0.67 Pt3 B2,"[Element Ba, Element Pt, Element B]","{'Ba': 0.67, 'Pt': 3.0, 'B': 2.0}",Other,3
Sr0.67Pt3B2,2.78,Sr0.67 Pt3 B2,"[Element Sr, Element Pt, Element B]","{'Sr': 0.67, 'Pt': 3.0, 'B': 2.0}",Other,3
Ca0.67Pt3B2,1.57,Ca0.67 Pt3 B2,"[Element Ca, Element Pt, Element B]","{'Ca': 0.67, 'Pt': 3.0, 'B': 2.0}",Other,3
Ca1Rh1.2Sn4.5,8.7,Ca1 Rh1.2 Sn4.5,"[Element Ca, Element Rh, Element Sn]","{'Ca': 1.0, 'Rh': 1.2, 'Sn': 4.5}",Other,3
